id,title,genres,keywords
5,Four Rooms,"['Crime', 'Comedy']","['hotel', 'new', 'years', 'eve', 'witch', 'bet', 'hotel', 'room', 'sperm', 'hoodlum', 'woman', 'director', 'episode', 'film']"
11,Star Wars,"['Adventure', 'Action', 'Science', 'Fiction']","['android', 'galaxy', 'hermit', 'death', 'star', 'light', 'saber', 'rescue', 'mission', 'empire', 'rebellion', 'planet', 'smuggler', 'force', 'space', 'opera', 'galactic', 'war', 'storm', 'trooper', 'totalitarianism']"
12,Finding Nemo,"['Animation', 'Family']","['father', 'son', 'relationship', 'harbor', 'underwater', 'fish', 'tank', 'great', 'barrier', 'reef', 'missing', 'child', 'short', 'term', 'memory', 'loss', 'clown', 'fish', 'father', 'son', 'reunion', 'protective', 'father']"
13,Forrest Gump,"['Comedy', 'Drama', 'Romance']","['vietnam', 'veteran', 'hippie', 'mentally', 'disabled', 'running', 'based', 'novel', 'vietnam', 'vietnam', 'war', 'friendship', 'love', 'family', 'relationships', 'bully', 'mother', 'son', 'relationship', 'military', 'hugging', 'shrimping', 'wounded', 'soldier', 'flashback', 'park', 'bench', 'amputee']"
14,American Beauty,['Drama'],"['male', 'nudity', 'female', 'nudity', 'adultery', 'parent', 'child', 'relationship', 'mid', 'life', 'crisis', 'coming', 'first', 'time', 'camcorder', 'virgin', 'nudity', 'film', 'maker', 'estate', 'agent', 'satire', 'loneliness', 'dark', 'comedy', 'suburbia', 'coming', 'age', 'marijuana', 'exercise', 'bittersweet', 'affair']"
16,Dancer in the Dark,"['Drama', 'Crime', 'Music']","['individual', 'dancing', 'usa', 'robbery', 'factory', 'worker', 'secret', 'factory', 'small', 'town', 'dance', 'blindness', 'impaired', 'vision', 'death', 'penalty', 'immigrant', 'eye', 'operation', 'eyesight', 'fantasy', 'naivety', 'hereditary', 'disease', 'loss', 'eyesight', 'czech', 'dying', 'death', 'van', 'friendship', 'murder', 'teacher', 'debt', 'execution', 'crime', 'police', 'officer']"
18,The Fifth Element,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science', 'Fiction']","['clone', 'taxi', 'cyborg', 'egypt', 'future', 'stowaway', 'space', 'travel', 'race', 'aga', 'inst', 'time', 'arms', 'dealer', 'love', 'alien', 'priest', 'end', 'world', 'good', 'evil', 'shootout', 'police', 'chase', 'cab', 'driver', 'new', 'york', 'city', 'space', 'opera', 'military', 'opera', 'singer', 'resort', 'hotel', 'ancient', 'astronaut', 'archeologist', 'ancient', 'evil', 'cruise', 'liner']"
22,Pirates of the Caribbean: The Curse of the Black Pearl,"['Adventure', 'Fantasy', 'Action']","['exotic', 'island', 'blacksmith', 'east', 'india', 'trading', 'company', 'gold', 'marriage', 'proposal', 'mutiny', 'jamaica', 'skeleton', 'daughter', 'governor', 'wooden', 'eye', 'gold', 'coin', 'pirate', 'alcoholic', 'swashbuckler', 'caribbean', 'pirate', 'ship', 'capuchin', 'monkey']"
24,Kill Bill: Vol. 1,"['Action', 'Crime']","['japan', 'coma', 'martial', 'arts', 'underworld', 'yakuza', 'sword', 'bride', 'revenge', 'gore', 'female', 'yakuza', 'blood', 'wedding', 'samurai', 'sword', 'part', 'animation']"
25,Jarhead,"['Drama', 'War']","['sniper', 'marine', 'corps', 'saudi', 'arabia', 'petrol', 'golf', 'war', 'u.s.', 'marine']"
28,Apocalypse Now,"['Drama', 'War']","['guerrilla', 'river', 'vietnam', 'cambodia', 'army', 'insanity', 'tribe', 'green', 'beret', 'jungle', 'apocalypse', 'death', 'napalm']"
33,Unforgiven,['Western'],"['prostitute', 'sheriff', 'bounty', 'regret', 'right', 'justice', 'revenge', 'mutilation', 'one', 'last', 'job', 'reputation', 'englishman']"
35,The Simpsons Movie,"['Animation', 'Comedy', 'Family']","['father', 'son', 'relationship', 'lake', 'springfield', 'simpsons', 'duff', 'beer', 'garbage', 'pig', 'pollution', 'environmental', 'protection', 'agency', 'quarantine', 'alcoholism', 'love', 'alaska', 'dysfunctional', 'family', 'dysfunctional', 'marriage', 'ecology', 'saving', 'lives', 'first', 'love', 'donuts']"
38,Eternal Sunshine of the Spotless Mind,"['Science', 'Fiction', 'Drama', 'Romance']","['regret', 'jealousy', 'amnesia', 'dream', 'operation', 'relationship', 'problems', 'love', 'memory', 'brainwashing', 'relationship', 'heartbreak', 'nonlinear', 'timeline', 'love', 'story', 'bittersweet']"
58,Pirates of the Caribbean: Dead Man's Chest,"['Adventure', 'Fantasy', 'Action']","['witch', 'fortune', 'teller', 'bondage', 'exotic', 'island', 'monster', 'captain', 'card', 'game', 'east', 'india', 'trading', 'company', 'compass', 'ship', 'daughter', 'pirate', 'swashbuckler']"
59,A History of Violence,"['Drama', 'Thriller', 'Crime']","['robbery', 'double', 'life', 'dual', 'identity', 'small', 'town', 'indiana', 'distrust', 'fight', 'self-defense', 'marriage', 'family', 'relationships', 'mistaken', 'identity', 'diner', 'lawyer', 'mobster', 'violence', 'attempted', 'robbery']"
63,Twelve Monkeys,"['Science', 'Fiction', 'Thriller', 'Mystery']","['schizophrenia', 'philadelphia', 'cassandra', 'stockholm', 'syndrome', 'time', 'travel', 'dystopia', 'lethal', 'virus', 'monkey', 'subterranean']"
65,8 Mile,['Drama'],"['individual', 'street', 'gang', 'adolescence', 'rap', 'music', 'hip-hop', 'rhyme', 'battle', 'trailer', 'park', 'ethnic', 'stereotype', 'single', 'detroit']"
68,Brazil,"['Comedy', 'Science', 'Fiction']","['bureaucracy', 'police', 'state', 'terror', 'great', 'britain', 'dream', 'dystopia', 'government', 'anarchic', 'comedy']"
69,Walk the Line,"['Drama', 'Music', 'Romance']","['germany', 'prison', 'music', 'record', 'adultery', 'country', 'music', 'guitar', 'loss', 'brother', 'concert', 'marriage', 'single', 'accident', '1960s']"
70,Million Dollar Baby,['Drama'],"['transporter', 'suicide', 'attempt', 'strong', 'woman', 'boxer', 'dying', 'death', 'stroke', 'fate', 'training', 'advancement', 'sport', 'female', 'protagonist', 'boxing', 'trainer', 'determination']"
71,Billy Elliot,"['Drama', 'Comedy', 'Music']","['workers', 'quarter', 'dancing', 'class', 'strike', 'northern', 'england', 'scholarship', 'ballet']"
73,American History X,['Drama'],"['usa', 'prison', 'skinhead', 'brother', 'brother', 'relationship', 'rape', 'fascism', 'brother', 'basketball', 'jail', 'school', 'swastika', 'family', 'hate', 'neo', 'nazism', 'xenophobia', 'interracial', 'friendship', 'nazism', 'prison', 'rape']"
74,War of the Worlds,"['Adventure', 'Thriller', 'Science', 'Fiction']","['post', 'traumatic', 'stress', 'disorder', 'new', 'jersey', 'airplane', 'dystopia', 'daughter', 'apocalypse', 'alien', 'invasion', 'human', 'subjugation']"
75,Mars Attacks!,"['Comedy', 'Fantasy', 'Science', 'Fiction']","['saving', 'world', 'total', 'destruction', 'white', 'house', 'mars', 'usa', 'president', 'cataclysm', 'laser', 'gun', 'ambassador', 'congress', 'pest', 'flying', 'saucer']"
76,Before Sunrise,"['Drama', 'Romance']","['dialogue', 'sunrise', 'talking', 'soul', 'mates', 'walking', 'austria', 'traveller', 'danube', 'bittersweet', 'romantic', 'vienna']"
77,Memento,"['Mystery', 'Thriller']","['individual', 'insulin', 'tattoo', 'waitress', 'amnesia', 'motel', 'insurance', 'salesman', 'revenge', 'memory', 'loss', 'polaroid', 'flashback']"
78,Blade Runner,"['Science', 'Fiction', 'Drama', 'Thriller']","['artificial', 'intelligence', 'bounty', 'hunter', 'dystopia', 'genetics', 'fugitive', 'cyberpunk', 'tech']"
80,Before Sunset,"['Drama', 'Romance']","['paris', 'journalist', 'dialogue', 'talking', 'soul', 'mates', 'walking', 'bookshop', 'love', 'ones', 'life', 'author']"
82,Miami Vice,"['Action', 'Adventure', 'Crime', 'Thriller']","['based', 'series', 'drug', 'deal', 'havana', 'cuba']"
83,Open Water,"['Drama', 'Thriller']","['diving', 'cataclysm', 'nightmare', 'panic', 'red', 'sea', 'primal', 'fear', 'scuba', 'diving', 'shark', 'scuba']"
85,Raiders of the Lost Ark,"['Adventure', 'Action']","['saving', 'world', 'riddle', 'nepal', 'himalaya', 'cairo', 'moses', 'egypt', 'whip', 'treasure', 'medallion', 'leather', 'jacket', 'nazis', 'hat', 'mediterranean', 'ark', 'covenant', 'ten', 'commandments', 'treasure', 'hunt', 'excavation', 'swastika', 'archaeologist', 'indiana', 'jones']"
87,Indiana Jones and the Temple of Doom,"['Adventure', 'Action']","['riddle', 'treasure', 'heart', 'skeleton', 'treasure', 'hunt', 'torture', 'violence', 'monkey', 'cult', 'film', 'archaeologist', 'thuggee', 'conveyor', 'belt', 'mine', 'car', 'rope', 'bridge', 'belching', 'child', 'driving', 'car', 'eating', 'brains', 'splits', 'indiana', 'jones']"
88,Dirty Dancing,"['Drama', 'Music', 'Romance']","['dancing', 'sex', 'hotel', 'robbery', 'sister', 'sister', 'relationship', 'dancing', 'master', 'mambo', 'dance', 'performance', 'daughter', 'summer', 'camp', 'secret', 'love', 'teenage', 'crush', 'doctor', 'class', 'differences', 'youth', 'family', 'holiday', 'sensuality', 'unwanted', 'pregnancy', 'summer', 'romance', 'abortion', 'cat', 'skill', 'cats', 'kill', 'resort']"
89,Indiana Jones and the Last Crusade,"['Adventure', 'Action']","['saving', 'world', 'venice', 'holy', 'grail', 'library', 'riddle', 'father', 'son', 'relationship', 'whip', 'treasure', 'nazis', 'entrapment', 'crusader', 'treasure', 'hunt', 'escape', 'panzer', 'order', 'templars', 'archaeologist', 'indiana', 'jones']"
90,Beverly Hills Cop,"['Action', 'Comedy', 'Crime']","['california', 'showdown', 'undercover', 'strip', 'club', 'investigation', 'weapon', 'police', 'smuggling', 'swimming', 'pool', 'gunfight', 'mansion', 'foot', 'chase', 'art', 'gallery', 'car', 'chase', 'warehouse', 'hills', 'buddy', 'comedy', 'country', 'club', 'maverick', 'cop', 'detroit', 'michigan', 'damsel', 'distress', 'bar', 'fight']"
95,Armageddon,"['Action', 'Thriller', 'Science', 'Fiction', 'Adventure']","['saving', 'world', 'paris', 'moon', 'cataclysm', 'asteroid', 'self', 'sacrifice', 'nasa', 'space', 'marine', 'loss', 'father', 'daughter', 'space', 'wedding', 'astronaut', 'eiffel', 'tower', 'paris', 'disaster', 'movie', 'space', 'centre']"
96,Beverly Hills Cop II,"['Action', 'Comedy', 'Crime']","['smuggling', 'arms', 'detective', 'intensive', 'care', 'undercover', 'strip', 'club', 'armored', 'car', 'investigation', 'police', 'swimming', 'pool', 'sequel', 'shootout', 'gunfight', 'explosion', 'violence', 'car', 'chase', 'detroit', 'horse', 'track', 'hills', 'buddy', 'cop', 'oil', 'field', 'cement', 'truck', 'playboy', 'mansion', 'shooting', 'range']"
97,Tron,"['Science', 'Fiction', 'Action', 'Adventure']","['video', 'game', 'hacker', 'virtual', 'reality', 'dystopia', 'computer', 'science', 'fiction']"
98,Gladiator,"['Action', 'Drama', 'Adventure']","['rome', 'gladiator', 'arena', 'senate', 'roman', 'empire', 'emperor', 'slavery', 'battlefield', 'blood', 'ancient', 'world', 'father', 'daughter', 'relationship', 'combat', 'mother', 'son', 'relationship', 'dream', 'sequence', 'chariot', 'philosopher', 'barbarian', 'horde', '2nd', 'century', 'successor']"
100,"Lock, Stock and Two Smoking Barrels","['Comedy', 'Crime']","['ambush', 'alcohol', 'shotgun', 'tea', 'joint', 'machismo', 'cocktail', 'rifle', 'marijuana', 'cockney', 'accent', 'pot', 'smoking', 'hatchet', 'antique', 'cardsharp', 'anger', 'carjacking', 'piano', 'strip', 'show', 'high', 'stakes']"
103,Taxi Driver,"['Crime', 'Drama']","['vietnam', 'veteran', 'taxi', 'obsession', 'drug', 'dealer', 'night', 'shift', 'vigilante', 'alienation', 'misanthrope', 'shot', 'death', 'illegal', 'prostitution', 'loner']"
105,Back to the Future,"['Adventure', 'Comedy', 'Science', 'Fiction', 'Family']","['clock', 'tower', 'car', 'race', 'terrorist', 'lightning', 'guitar', 'plutonium', 'sports', 'car', 'inventor', 'journey', 'past', 'time', 'travel', 'race', 'aga', 'inst', 'time', 'partner', 'misfit', 'mad', 'scientist', 'fish', 'water', 'teenage', 'love', 'destiny', 'hidden', 'identity', 'odd', 'couple', 'escapade', 'disorder', 'chases', 'races', 'love', 'romance', 'teenage', 'life', 'misfit', 'partners', 'changing', 'past', 'future', 'getting', 'home', 'inventions', 'discoveries']"
106,Predator,"['Science', 'Fiction', 'Action', 'Adventure', 'Thriller']","['central', 'south', 'america', 'predator', 'alien', 'stalking', 'invisible', 'commando']"
107,Snatch,"['Thriller', 'Crime']","['gypsy', 'bare', 'knuckle', 'boxing', 'slang', 'trailer', 'park', 'pig', 'sport', 'receiving', 'stolen', 'goods', 'cockney', 'accent', 'diamond']"
111,Scarface,"['Action', 'Crime', 'Drama', 'Thriller']","['miami', 'corruption', 'capitalism', 'cuba', 'prohibition', 'brother', 'sister', 'relationship', 'loss', 'sister', 'cocaine', 'cult', 'film', 'bitterness']"
114,Pretty Woman,"['Romance', 'Comedy']","['prostitute', 'capitalism', 'cinderella', 'expensive', 'restaurant', 'sports', 'car', 'workaholic', 'fire', 'escape', 'friendship', 'piano']"
115,The Big Lebowski,"['Comedy', 'Crime']","['white', 'russian', 'dude', 'bowling', 'vietnam', 'veteran', 'carpet', 'nihilism', 'heart', 'attack', 'kidnapping', 'lsd', 'marijuana', 'millionaire', 'cowboy', 'ashes', 'impregnation', 'bowling', 'team', 'unemployed', 'bowling', 'ball', 'weeds']"
116,Match Point,"['Drama', 'Thriller', 'Crime', 'Romance']","['love', 'triangle', 'london', 'england', 'upper', 'class', 'adultery', 'tennis', 'river', 'thames', 'love', 'wealth', 'lust', 'instructor', 'gold', 'digger', 'social', 'climbing', 'actress']"
117,The Untouchables,"['Crime', 'Drama', 'History', 'Thriller']","['white', 'suit', 'capone', 'tough', 'cop', 'treasury', 'agent', 'untouchable', 'tax', 'evasion', 'jury', 'tampering', 'rule', 'law', 'rooftop', 'chase', 'cutting', 'face', 'shaving', '1930s']"
118,Charlie and the Chocolate Factory,"['Adventure', 'Comedy', 'Family', 'Fantasy']","['london', 'england', 'father', 'son', 'relationship', 'chocolate', 'factory', 'worker', 'based', 'novel', 'parent', 'child', 'relationship', 'candy', 'overweight', 'child', 'grandfather', 'grandson', 'relationship', 'teacher']"
120,The Lord of the Rings: The Fellowship of the Ring,"['Adventure', 'Fantasy', 'Action']","['elves', 'dwarves', 'hobbit', 'based', 'novel', 'mountain', 'fireworks', 'castle', 'volcano', 'password', 'death', 'friend', 'uncle', 'mirror', 'wizard', 'sword', 'sorcery']"
121,The Lord of the Rings: The Two Towers,"['Adventure', 'Fantasy', 'Action']","['elves', 'hobbit', 'based', 'novel', 'explosive', 'cave', 'fort', 'army', 'mission', 'attack', 'guide', 'wizard', 'ring', 'sword', 'sorcery']"
122,The Lord of the Rings: The Return of the King,"['Adventure', 'Fantasy', 'Action']","['elves', 'based', 'novel', 'suspicion', 'bravery', 'war', 'honor', 'troll', 'brutality', 'violence', 'ghost', 'end', 'trilogy', 'quest', 'sword', 'sorcery']"
134,"O Brother, Where Art Thou?","['Action', 'Adventure', 'Comedy']","['prophecy', 'southern', 'usa', 'music', 'record', 'country', 'music', 'mississippi', 'seduction', 'musical', 'fraud']"
137,Groundhog Day,"['Romance', 'Fantasy', 'Drama', 'Comedy']","['groundhog', 'weather', 'forecast', 'telecaster', 'pennsylvania', 'alarm', 'clock', 'winter', 'time', 'warp', 'time', 'loop', 'cult', 'film', 'existentialism', 'groundhog', 'day']"
141,Donnie Darko,"['Fantasy', 'Drama', 'Mystery']","['parent', 'child', 'relationship', 'airplane', 'time', 'travel', 'school', 'presentation', 'school', 'performance', 'suburbia', 'vision', 'morality', 'teenager']"
142,Brokeback Mountain,"['Drama', 'Romance']","['gay', 'countryside', 'homophobia', 'loss', 'lover', 'wyoming', 'rodeo', 'father', 'murder', 'horseback', 'riding', 'intolerance', 'daughter', 'marriage', 'crisis', 'secret', 'love', 'cowboy', 'star', 'crossed', 'lovers']"
150,48 Hrs.,"['Thriller', 'Action', 'Comedy', 'Crime', 'Drama']","['prison', 'convict', 'tough', 'cop', 'fake', 'fight', 'bowie', 'knife']"
152,Star Trek: The Motion Picture,"['Science', 'Fiction', 'Adventure', 'Mystery']","['artificial', 'intelligence', 'uss', 'enterprise', 'star', 'fleet', 'self', 'sacrifice', 'spacecraft', 'vulcan', 'space', 'opera']"
153,Lost in Translation,['Drama'],"['upper', 'class', 'hotel', 'room', 'age', 'difference', 'commercial', 'karaoke', 'homesickness', 'culture', 'clash', 'jet', 'lag', 'pop', 'star', 'unsociability', 'woman', 'director']"
154,Star Trek II: The Wrath of Khan,"['Action', 'Adventure', 'Science', 'Fiction', 'Thriller']","['uss', 'enterprise', 'genesis', 'asteroid', 'self', 'sacrifice', 'mid', 'life', 'crisis', 'simulator', 'cadet', 'radiation', 'uss', 'reliant', 'alpha', 'genetics', 'space', 'opera']"
155,The Dark Knight,"['Drama', 'Action', 'Crime', 'Thriller']","['comics', 'crime', 'fighter', 'secret', 'identity', 'scarecrow', 'sadism', 'chaos', 'got', 'ham', 'city', 'vigilante', 'joker', 'super', 'hero', 'based', 'comic', 'tragic', 'hero', 'organized', 'crime', 'criminal', 'mastermind', 'district', 'attorney', 'super', 'villain', 'super', 'powers', 'batman']"
157,Star Trek III: The Search for Spock,"['Science', 'Fiction', 'Action', 'Adventure', 'Thriller']",[]
161,Ocean's Eleven,"['Thriller', 'Crime']","['prison', 'pickpocket', 'strip', 'club', 'con', 'artist', 'atlantic', 'city', 'cockney', 'accent', 'las', 'vegas', 'card', 'dealer', 'explosives', 'expert', 'black', 'white', 'scene', 'male', 'salt', 'lake', 'city', 'utah']"
162,Edward Scissorhands,"['Fantasy', 'Drama', 'Romance']","['underdog', 'love', 'first', 'sight', 'hairdresser', 'small', 'town', 'scissors', 'inventor', 'burglar', 'unsociability']"
163,Ocean's Twelve,"['Thriller', 'Crime']","['sequel', 'egg', 'dutch', 'east', 'indian', 'company', 'second', 'part', 'golden', 'egg', 'goon']"
165,Back to the Future Part II,"['Adventure', 'Comedy', 'Family', 'Science', 'Fiction']","['skateboarding', 'flying', 'car', 'car', 'race', 'lightning', 'almanac', 'inventor', 'time', 'travel', 'sequel', 'diner', 'alternate', 'history', 'teenager', 'electric', 'guitar', 'walking', 'cane', 'high', 'school', 'dance', 'hover', 'board', 'video', 'phone']"
167,K-PAX,"['Drama', 'Science', 'Fiction']","['robbery', 'dream', 'hypnosis', 'investigation', 'murder', 'alien', 'hospital', 'planet', 'patient', 'medication', 'psychiatrist', 'science', 'claim', 'doubt', 'mental', 'help']"
168,Star Trek IV: The Voyage Home,"['Science', 'Fiction', 'Adventure']","['saving', 'world', 'uss', 'time', 'travel', 'whale', 'marine', 'biologist', 'vulcan', 'space', 'opera']"
169,Predator 2,"['Science', 'Fiction', 'Action', 'Thriller']","['predator', 'war', 'drugs', 'extraterrestrial', 'technology', 'invisible']"
170,28 Days Later,"['Horror', 'Thriller', 'Science', 'Fiction']","['london', 'england', 'taxi', 'manchester', 'city', 'sub', 'machine', 'gun', 'gas', 'station', 'survivor', 'daughter', 'laboratory', 'hospital', 'zombie', 'brutality', 'church', 'violence', 'rage', 'epidemic', 'military', 'virus', 'waking', 'coma', 'animal', 'research']"
172,Star Trek V: The Final Frontier,"['Science', 'Fiction', 'Action', 'Adventure', 'Thriller']","['federation', 'star', 'fleet', 'uss', 'loss', 'brother', 'self', 'sacrifice', 'hostage', 'liberation', 'hostage', 'vulcan', 'space', 'opera']"
174,Star Trek VI: The Undiscovered Country,"['Science', 'Fiction', 'Action', 'Adventure', 'Thriller']","['farewell', 'federation', 'star', 'fleet', 'peace', 'conference', 'uss', 'court', 'case', 'peace', 'contract', 'plan', 'space', 'opera']"
176,Saw,"['Horror', 'Mystery', 'Crime']","['shotgun', 'based', 'short', 'film', 'sadist', 'pistol', 'chained', 'bludgeoning', 'game', 'death']"
177,The Fisher King,"['Comedy', 'Drama']","['holy', 'grail', 'homeless', 'person', 'loss', 'lover', 'mental', 'disease', 'sense', 'guilt', 'suppressed', 'past', 'yuppie', 'cynic', 'fantasy', 'self-discovery', 'housebreaking', 'forgiveness', 'gun', 'rampage', 'talk', 'show', 'legend', 'unsociability', 'person', 'running', 'amok']"
